Name,Temperature,Detailed Forecast
Tonight,35,"Mostly clear, with a low around 35. Southwest wind around 7 mph."
Tuesday,62,"Sunny, with a high near 62. Southwest wind 3 to 13 mph."
Tuesday Night,41,"Mostly cloudy. Low around 41, with temperatures rising to around 43 overnight. Southwest wind 2 to 9 mph."
Wednesday,60,"A slight chance of rain showers after 2pm. Mostly cloudy. High near 60, with temperatures falling to around 57 in the afternoon. South wind 3 to 14 mph. Chance of precipitation is 20%."
Wednesday Night,48,"A slight chance of rain showers. Mostly cloudy, with a low around 48. South wind 9 to 14 mph. Chance of precipitation is 20%."
Thursday,64,"A chance of rain showers. Cloudy. High near 64, with temperatures falling to around 62 in the afternoon. Chance of precipitation is 50%."
Thursday Night,49,"A chance of rain showers. Cloudy, with a low around 49. Chance of precipitation is 50%."
Friday,55,"Rain showers likely. Cloudy, with a high near 55. Chance of precipitation is 60%."
Friday Night,43,"A chance of rain showers. Cloudy, with a low around 43. Chance of precipitation is 50%."
Saturday,50,"Rain showers likely. Cloudy, with a high near 50. Chance of precipitation is 70%."
Saturday Night,41,"Rain showers likely before 2am. Mostly cloudy, with a low around 41. Chance of precipitation is 70%."
Sunday,57,"Mostly sunny, with a high near 57."
Sunday Night,42,"A slight chance of rain showers after 2am. Mostly cloudy, with a low around 42."
Monday,55,"A chance of rain showers. Mostly cloudy, with a high near 55. Chance of precipitation is 40%."
