Job,Type,Application Deadline,Salary
JOB,Full Time,APPLICATION DEADLINE,"$45,228.00 per Year"
Animal Control Officer,Full Time,Open Until Filled,"$45,228.00 per Year"
Assistant Engineer,Full Time,Open Until Filled,"$45,228.00 per Year"
Building Inspector II,Full Time,Open Until Filled,"$45,228.00 per Year"
City Engineer,Full Time,Open Until Filled,"$45,228.00 per Year"
Code Inspector,Full Time,Open Until Filled,"$45,228.00 per Year"
Commissioner of Public Works,Full Time,Open Until Filled,"$45,228.00 per Year"
Crossing Guard,Full Time,Open Until Filled,"$45,228.00 per Year"
Director of Police Department Community Outreach and Recruitment,Full Time,Open Until Filled,"$45,228.00 per Year"
First Deputy Commissioner of Public Works,Full Time,Open Until Filled,"$45,228.00 per Year"
Laboratory Technician (Sanitary Services),Full Time,Open Until Filled,"$45,228.00 per Year"
Staff Accountant,Full Time,Open Until Filled,"$45,228.00 per Year"
Street Maintainer,Full Time,Open Until Filled,"$45,228.00 per Year"
Water & Sewer Systems Maintainer,Full Time,Open Until Filled,"$45,228.00 per Year"
Water Meter Repairer,Full Time,Open Until Filled,"$45,228.00 per Year"
